"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.095665085E0	3.466489725E-3	-1.106682420E-2	-1.721382141E-3	1.172409081E-2
1.100688783E0	3.462524153E-3	-6.288468838E-3	-6.456375122E-3	9.654982835E-3
1.105712481E0	1.290799212E-2	3.201127052E-3	1.260375977E-2	1.832261540E-2
1.110736127E0	8.072881028E-3	-1.114344597E-2	2.998352051E-3	1.408324931E-2
1.115759773E0	-6.224001758E-3	-6.311714649E-3	-6.527900696E-3	1.100860696E-2
1.120783419E0	-6.252544001E-3	-6.323993206E-3	3.029823303E-3	9.395053262E-3
1.125807064E0	3.272450529E-3	-6.283432245E-3	1.725769043E-2	1.865524945E-2
1.130830710E0	-1.533596776E-3	-1.104694605E-2	-1.887321472E-3	1.131145077E-2
1.135854356E0	-1.601226628E-3	-1.096710563E-2	-1.137447357E-2	1.588143512E-2
1.140878002E0	3.188070841E-3	-1.438528299E-3	1.247787476E-2	1.295880078E-2
1.145901648E0	7.937457412E-3	3.312289715E-3	2.871513367E-3	9.067529010E-3
1.150925294E0	3.145201132E-3	-1.531213522E-3	-1.140403748E-2	1.192849428E-2
1.155948939E0	-6.410817616E-3	3.220379353E-3	2.943992615E-3	7.754773897E-3
1.160972585E0	3.168161027E-3	-6.320685148E-3	-6.582260132E-3	9.659940656E-3
1.165996231E0	3.114015795E-3	-6.332874298E-3	-1.773834229E-3	7.276598046E-3
1.171019877E0	-1.638045534E-3	-6.292313337E-3	-6.510734558E-3	9.201416456E-3
1.176043523E0	-6.455836818E-3	-6.252080202E-3	7.796287537E-3	1.189741296E-2
1.181067169E0	-1.627516933E-3	-1.513749361E-3	-1.768112183E-3	2.840153021E-3
1.186090814E0	-1.643129624E-3	-1.576635242E-2	-2.075767517E-2	2.611817034E-2
1.191114460E0	-1.604516059E-3	-6.145119667E-3	-1.580238342E-3	6.544778126E-3
1.196138106E0	-1.618889160E-3	-1.355081797E-3	3.183364868E-3	3.819798512E-3
1.201161752E0	-6.330078468E-3	-6.107091904E-3	-6.344795227E-3	1.084540877E-2
1.206185398E0	-1.448711380E-3	-1.370042562E-3	-6.290435791E-3	6.598891098E-3
1.211209044E0	3.286650404E-3	-1.423507929E-3	1.276779175E-2	1.326065428E-2
1.216232689E0	-6.270547397E-3	3.327190876E-3	3.158569336E-3	7.769589696E-3
1.221256335E0	-6.246036850E-3	-1.569122076E-3	-6.366729736E-3	9.055957595E-3
1.226279981E0	-1.092009805E-2	3.182798624E-3	1.269054413E-2	1.704196757E-2
1.231303627E0	-1.354775392E-3	-6.357997656E-3	7.833480835E-3	1.017953695E-2
1.236327273E0	3.431036137E-3	-1.618802547E-3	-1.731872559E-3	4.170361282E-3
1.241350919E0	-1.323667355E-3	3.133505583E-3	3.032684326E-3	4.557206022E-3
1.246374564E0	1.291271858E-2	-6.406873465E-3	3.006935120E-3	1.472508022E-2
1.251398210E0	3.275304101E-3	-6.313025951E-3	-1.127243042E-2	1.332852584E-2
1.256421856E0	3.220265731E-3	-1.521587372E-3	-1.675605774E-3	3.936114101E-3
1.261445502E0	-1.531248912E-3	-1.573830843E-3	2.209472656E-2	2.220357198E-2
1.266469148E0	-1.494999044E-3	3.178179264E-3	2.905845642E-3	4.558484888E-3
1.271492794E0	-1.511717215E-3	-1.111352444E-2	-1.869201660E-3	1.137055976E-2
1.276516439E0	-1.526864246E-3	3.219962120E-3	1.239967346E-2	1.290160348E-2
1.281540085E0	3.314480186E-3	-6.321161985E-3	2.793312073E-3	7.664558701E-3
1.286563731E0	-6.242950447E-3	-6.333351135E-3	-1.978874207E-3	9.110527428E-3
1.291587377E0	3.283395432E-3	-6.345450878E-3	1.229286194E-2	1.421829410E-2
